heart_rate,calories_burned,sleep_hours,steps_walked,stress_level,posture_score,joint_flexibility,repetition_count,motion_type,shift_hours,night_shift,overtime_hours,risk_class
71,3579,3.5,6762,3,53,66,449,kneeling,10,0,5,0
67,1810,4.6,11531,3,40,131,325,kneeling,8,1,4,1
100,2669,4.8,9223,5,50,165,3,bending,11,1,2,1
108,2160,3.9,3057,7,64,45,317,climbing,6,1,0,1
107,1861,5.4,12844,10,97,46,291,sitting,11,1,3,2
82,3467,5.7,10838,7,60,169,381,walking,7,0,0,0
104,2945,6.0,16127,5,71,148,444,climbing,9,0,1,0
107,3079,6.0,1802,2,60,127,445,bending,7,1,2,1
60,3279,8.2,6661,2,95,77,111,lifting,6,1,3,1
69,2609,5.5,1710,7,70,70,155,kneeling,8,0,1,0
91,3985,7.8,15183,6,40,154,496,bending,6,1,0,1
64,2824,7.7,10480,2,50,162,482,climbing,12,0,3,1
91,1553,9.2,6197,5,100,109,350,kneeling,9,0,4,0
68,3669,5.2,13234,2,67,174,496,climbing,6,0,3,1
83,3208,5.0,11688,3,60,151,402,sitting,10,1,4,1
110,2856,7.7,5165,5,100,176,497,walking,11,0,1,0
91,3807,6.3,1635,5,85,54,196,walking,10,1,0,1
93,3510,6.3,9716,1,77,129,398,walking,12,1,5,1
69,2990,8.6,2934,7,51,87,324,lifting,8,1,4,1
90,3801,4.4,9937,5,82,110,309,kneeling,7,0,4,0
98,1993,5.3,2984,3,87,159,144,walking,12,1,3,1
104,1544,5.3,7692,2,57,36,14,bending,11,1,0,2
83,3404,8.2,5837,7,100,127,284,walking,10,1,2,0
66,2620,6.2,7480,9,78,102,83,kneeling,7,1,0,0
67,1714,8.7,19106,7,67,66,161,bending,9,0,5,0
87,2826,5.9,11702,9,24,102,165,kneeling,12,0,4,1
63,2040,6.5,3224,2,39,56,267,walking,11,0,0,1
108,2975,9.3,12080,1,72,117,384,lifting,9,1,4,1
63,3649,6.0,13975,2,90,52,416,walking,9,0,0,0
108,2568,4.9,2851,10,91,36,26,bending,12,0,3,2
62,1672,4.8,8623,2,37,158,163,sitting,9,1,0,1
92,2686,6.5,14596,8,28,40,102,kneeling,6,0,1,1
97,3513,3.5,3641,9,67,160,460,walking,9,0,1,1
94,1530,9.0,10221,4,91,125,261,climbing,7,0,4,1
76,2870,4.7,9530,6,35,103,231,lifting,9,1,1,1
71,1961,3.7,4497,3,45,175,376,bending,8,0,4,1
112,2742,5.7,2781,10,100,88,290,sitting,7,0,2,1
60,2386,8.5,11942,3,83,129,368,sitting,9,1,4,0
108,2176,9.0,16734,8,96,103,407,bending,12,0,0,1
99,1939,8.8,2022,9,26,32,484,sitting,6,1,3,2
84,3826,9.3,4186,0,67,85,330,walking,9,1,0,0
77,3210,7.4,10747,0,35,107,72,sitting,9,0,0,0
118,1624,8.8,16614,2,21,58,44,bending,7,1,4,2
104,3783,5.1,1739,9,81,46,374,bending,7,0,0,1
85,3045,3.7,17299,6,79,135,89,lifting,10,0,5,1
64,2650,7.8,16701,3,54,36,343,sitting,12,0,1,0
104,3334,8.4,2445,9,75,173,487,bending,9,0,5,1
114,1693,5.2,3897,9,67,146,420,climbing,10,0,2,1
102,3020,7.9,18719,2,61,118,208,walking,10,1,2,0
89,2923,8.1,5837,10,83,168,208,sitting,9,0,4,0
76,2063,5.5,12752,10,79,145,385,kneeling,12,0,0,1
81,3574,9.0,5753,9,63,168,323,bending,7,0,1,0
112,3123,4.0,14729,1,84,169,21,kneeling,6,0,2,0
119,3754,7.5,6396,3,62,155,59,sitting,11,1,4,1
119,3117,6.6,13871,3,93,119,383,climbing,11,0,1,1
100,3358,4.4,7171,0,84,57,253,walking,6,1,1,1
108,3163,5.3,7856,8,32,78,12,lifting,6,1,0,2
73,2260,8.5,3337,1,52,145,486,lifting,9,1,5,1
85,1543,7.7,10837,5,69,125,106,sitting,9,1,5,0
99,3930,3.8,17100,0,83,111,179,lifting,8,1,3,1
108,3707,8.1,14851,9,99,119,485,bending,9,0,3,1
62,3496,8.1,3845,7,52,169,47,lifting,7,0,3,0
84,2881,4.9,16377,0,61,109,282,bending,12,1,1,1
99,3181,4.1,5206,9,23,159,227,lifting,10,0,3,2
77,3814,5.8,18552,10,26,94,299,lifting,11,1,1,2
117,3350,5.3,6332,0,57,114,218,lifting,11,0,0,1
72,3474,6.4,1186,6,42,126,22,sitting,7,0,2,0
115,3890,8.6,8495,7,34,55,84,walking,7,0,3,1
91,3001,8.3,15089,0,87,124,325,kneeling,6,1,3,1
62,2642,6.1,14836,1,28,52,134,bending,8,1,3,1
92,2496,8.9,5506,1,23,71,44,kneeling,7,0,3,1
102,3736,5.7,9618,7,28,77,298,climbing,6,0,1,1
72,2103,5.3,13802,0,67,45,261,lifting,6,1,4,1
93,1536,5.3,5491,5,51,152,410,walking,7,1,3,1
90,2377,4.1,13709,8,100,168,439,lifting,7,0,4,1
69,1778,6.4,3378,9,41,93,320,climbing,12,1,1,1
112,2575,5.9,15151,0,61,131,14,walking,11,1,3,1
88,3983,8.5,8363,2,81,160,455,climbing,11,0,1,0
98,3635,5.2,3459,6,96,37,213,lifting,10,0,5,1
117,2096,8.1,2309,5,55,130,143,climbing,11,1,2,1
113,3692,7.1,11097,7,85,154,197,bending,10,0,3,1
81,1872,7.6,12220,8,86,46,128,bending,8,1,2,1
98,3603,4.9,11622,3,92,78,178,sitting,7,1,4,1
103,3185,5.2,14888,10,44,65,410,bending,8,0,5,2
103,2980,7.8,19117,5,46,148,297,kneeling,7,0,5,1
106,2693,7.3,7741,9,63,76,454,bending,12,1,2,1
75,3104,6.4,9871,9,78,167,174,walking,8,0,2,0
67,3042,8.4,13880,0,28,78,415,sitting,9,1,4,1
97,2634,6.6,14778,3,54,43,218,bending,9,0,3,1
87,3084,5.4,5578,2,35,122,389,lifting,6,0,2,1
66,3746,6.7,5175,1,74,82,20,bending,10,0,0,0
67,2882,9.4,10082,4,75,91,118,walking,10,1,4,0
82,2468,4.4,19143,9,60,86,87,climbing,7,0,1,1
65,3839,7.9,9838,7,35,54,126,climbing,7,0,3,1
99,2178,8.9,8220,4,33,30,122,bending,8,1,4,2
115,3956,8.6,15619,3,49,55,433,lifting,9,1,3,2
69,3074,8.6,13457,0,89,99,105,bending,9,1,4,1
81,2819,3.6,17631,9,69,143,310,walking,8,0,5,1
64,3961,8.5,13375,2,71,83,111,sitting,8,1,2,0
75,2690,8.9,13433,9,80,36,351,kneeling,7,0,3,1
105,1589,5.8,12310,5,68,35,251,climbing,11,1,3,2
65,3291,5.0,8489,4,66,96,245,walking,7,0,4,0
101,3618,7.1,7413,0,68,123,24,walking,6,0,0,0
99,3764,3.8,3597,8,52,145,76,sitting,7,1,2,1
115,2261,4.9,11210,2,86,47,118,lifting,10,0,4,1
101,2220,5.2,16409,6,41,90,8,walking,10,0,0,1
109,1915,5.1,6856,8,35,148,283,sitting,11,0,1,1
94,2265,5.0,1286,5,41,99,262,lifting,10,0,3,1
68,2184,3.8,6108,2,50,124,293,sitting,9,0,3,0
71,1950,7.8,6311,10,97,40,34,climbing,7,0,2,1
89,3666,8.3,13943,8,89,133,455,kneeling,9,1,4,1
96,3159,8.0,18153,6,41,158,439,climbing,7,0,1,1
64,3956,9.5,10779,1,97,135,195,climbing,8,1,0,0
80,3495,4.7,1525,3,75,67,230,kneeling,12,0,5,1
110,2736,5.9,5663,0,49,142,129,climbing,9,1,5,2
89,3021,8.8,16181,2,73,43,125,walking,11,0,2,0
83,1717,5.6,13666,10,75,49,306,sitting,8,1,0,1
119,3463,3.9,11861,3,59,159,84,lifting,6,0,5,1
105,3800,5.1,1808,8,47,163,190,lifting,9,1,2,2
111,3385,5.6,11700,4,67,43,410,kneeling,10,0,3,1
108,3496,6.1,17841,0,90,174,259,lifting,7,1,2,1
102,3301,7.9,9752,2,38,80,47,kneeling,9,1,3,1
74,1671,3.8,1396,2,44,137,291,walking,9,0,3,1
95,3827,5.0,7901,0,28,71,439,lifting,8,1,0,1
74,3418,9.0,6426,10,83,59,40,bending,9,1,4,1
106,3024,8.6,9456,9,91,170,455,bending,8,1,4,1
69,3915,6.6,10141,9,51,87,417,lifting,9,1,2,1
81,3584,5.3,14261,0,95,106,410,sitting,6,0,4,0
74,2396,8.8,9150,7,39,55,357,kneeling,10,1,3,1
107,3137,6.0,11853,4,30,92,83,kneeling,9,0,2,0
119,1733,6.1,15161,2,73,151,500,lifting,8,1,0,1
79,2465,6.4,17117,6,95,84,207,climbing,12,0,2,0
75,4000,8.3,12013,2,96,113,303,climbing,12,0,0,0
65,1837,8.3,1278,2,89,139,252,lifting,12,0,0,0
60,3430,4.6,5373,4,66,121,341,kneeling,6,0,1,0
117,2768,5.5,2276,9,30,40,314,lifting,12,0,1,2
117,3100,8.4,17068,1,54,104,315,kneeling,6,1,1,0
64,3393,7.1,9519,2,85,54,254,kneeling,7,1,0,0
85,2887,7.5,16488,7,65,160,156,sitting,11,1,3,1
111,2463,8.3,11135,10,61,83,123,climbing,7,0,0,1
65,1740,7.0,4857,2,33,144,64,walking,11,0,2,0
109,2862,7.6,19981,3,81,141,209,lifting,11,1,5,1
73,3438,7.4,12934,2,70,79,176,lifting,6,0,2,0
84,2264,8.4,16188,10,70,112,230,walking,12,1,5,1
105,3229,7.5,19565,2,20,72,488,sitting,9,0,3,1
116,2870,4.4,5598,3,85,156,490,sitting,7,0,3,1
62,1537,7.3,12238,9,67,116,1,lifting,9,0,1,0
69,2861,7.6,17547,4,87,130,455,kneeling,10,0,3,0
109,1661,6.2,18928,4,88,146,22,sitting,8,0,3,0
97,1757,6.3,14672,7,97,176,118,sitting,12,0,3,1
76,2729,8.8,2268,3,94,95,202,sitting,6,0,0,0
74,3340,4.9,1073,6,26,49,410,sitting,10,1,0,1
92,2754,8.1,2677,7,94,84,273,bending,10,1,0,1
114,2461,9.1,13747,8,62,75,279,bending,7,0,5,1
87,1826,5.5,9047,7,22,55,66,bending,11,1,1,2
102,2697,7.5,14617,2,74,82,373,walking,8,0,2,0
79,3721,7.6,3247,1,39,61,436,lifting,7,0,2,0
71,1964,8.1,12060,1,84,166,238,kneeling,6,1,5,0
99,2639,8.2,12673,1,65,75,198,walking,10,1,5,1
61,1853,9.5,6317,2,63,71,267,bending,10,0,3,0
119,2939,3.7,13755,6,33,161,397,climbing,7,0,1,1
99,3480,8.1,3192,3,83,172,394,climbing,9,1,5,1
83,2315,8.9,2192,7,44,30,292,sitting,6,1,5,1
81,3202,8.0,1243,5,79,51,68,lifting,10,0,4,1
68,3439,6.5,19074,5,35,38,402,bending,8,0,2,1
94,3243,5.3,4492,0,58,65,356,sitting,12,1,1,1
77,2892,8.6,3437,8,66,49,255,sitting,11,1,3,1
61,1607,9.4,11739,2,31,65,476,kneeling,10,0,2,0
67,1889,9.3,11937,5,35,76,295,walking,10,0,1,0
63,2632,5.4,19029,8,30,170,478,kneeling,12,1,4,2
102,2718,4.1,14226,0,59,137,47,bending,8,1,5,1
63,2060,3.9,1131,1,81,40,240,sitting,9,0,2,0
70,3920,9.1,9112,1,62,73,94,bending,10,0,5,0
111,1568,6.3,5150,2,85,91,208,lifting,11,1,4,1
110,2268,6.5,8795,0,75,84,313,bending,9,0,4,1
78,2910,4.3,14485,9,56,98,127,kneeling,12,0,5,1
86,2544,7.4,17307,0,34,133,302,walking,11,1,5,1
68,3861,4.6,4931,10,51,63,364,lifting,7,0,5,1
62,1795,7.6,5356,3,55,58,294,lifting,11,0,5,1
67,1556,6.0,12185,3,77,66,75,bending,11,0,2,0
80,3183,5.8,18002,10,55,143,339,walking,12,0,1,1
84,2946,4.6,8955,7,82,100,223,lifting,8,0,3,1
89,2149,3.9,2952,7,87,104,104,climbing,6,1,1,1
78,2644,4.6,1451,7,87,46,300,climbing,8,1,5,1
74,3340,4.7,10031,7,69,99,82,climbing,7,1,1,1
61,2460,7.4,13601,3,90,160,328,walking,6,1,5,0
83,3638,5.0,4238,4,86,109,382,climbing,6,0,4,1
116,1938,4.9,10267,4,51,172,438,kneeling,10,0,5,1
91,3664,3.5,1641,5,90,137,290,sitting,6,1,1,1
71,1944,7.9,14921,4,54,180,102,bending,9,1,0,0
84,3432,7.2,9024,5,25,116,182,climbing,12,0,4,1
81,3519,4.9,19429,0,29,56,289,walking,7,1,0,1
73,3413,6.0,3379,1,90,142,367,walking,7,0,1,0
83,1896,3.7,1383,9,72,60,143,bending,10,1,1,1
65,2895,9.0,4892,1,52,167,382,bending,12,0,0,0
90,2634,6.7,1208,7,47,135,454,sitting,6,0,4,0
97,2439,9.0,10098,0,74,119,478,sitting,12,1,4,1
104,2172,3.7,4195,10,93,35,341,sitting,7,0,1,1
74,1685,7.9,7417,3,45,63,151,climbing,6,1,1,1
99,2050,3.7,7690,5,100,106,427,bending,9,0,5,1
64,2151,6.3,1249,2,67,38,272,walking,11,1,0,1
65,2145,4.8,6037,6,33,141,117,bending,12,0,2,1
105,3630,7.8,18395,9,94,114,453,climbing,7,0,3,1
87,2205,7.2,15584,4,60,96,310,walking,11,0,1,0
85,2710,5.8,18545,7,31,178,59,bending,7,0,1,1
107,3685,9.2,4708,8,81,131,465,bending,10,0,0,1
93,2236,6.7,8595,2,50,42,260,kneeling,10,0,1,0
94,3762,4.0,18205,8,31,96,133,sitting,10,0,1,1
62,3251,6.4,7727,2,48,52,265,walking,10,1,0,1
87,3739,4.0,11546,7,41,100,433,sitting,6,0,0,0
109,1611,8.2,1793,0,30,112,84,bending,12,0,0,1
104,2279,6.4,4219,7,88,125,29,bending,11,0,5,1
69,2947,5.4,4773,8,57,104,133,walking,6,0,4,1
102,3860,6.7,10410,7,86,49,77,walking,12,1,4,1
99,1673,5.4,16364,0,84,141,239,lifting,6,0,0,1
102,2570,8.8,13382,5,63,52,185,bending,10,1,4,1
69,3159,5.8,5028,3,72,68,408,sitting,10,0,2,0
83,1700,5.7,6578,9,68,40,282,bending,6,1,0,1
86,2351,4.9,19293,7,99,120,402,lifting,12,0,1,1
64,1748,5.1,2539,1,70,94,427,kneeling,6,0,2,0
100,2559,9.3,6814,8,80,157,450,walking,10,0,3,1
105,2268,6.7,3102,6,54,92,79,bending,6,0,5,1
85,2708,7.9,18095,9,59,134,152,walking,6,0,3,0
108,2034,5.7,18312,6,47,56,158,sitting,6,1,0,1
112,3098,5.2,13775,2,65,125,387,sitting,12,0,1,1
85,2438,7.8,13092,5,89,77,150,walking,12,0,5,0
65,3424,5.8,14473,4,57,161,294,kneeling,10,0,1,0
106,1946,5.7,19221,8,86,75,425,sitting,8,0,3,1
99,1752,7.5,12138,0,57,44,436,sitting,7,0,1,0
73,2954,4.7,18242,4,95,110,452,bending,6,1,5,1
74,2079,8.3,3951,1,96,146,269,climbing,11,0,4,1
63,3984,9.4,8900,9,31,80,252,walking,7,1,5,1
80,2424,3.7,14325,0,29,51,470,kneeling,12,1,2,1
84,1890,6.3,17406,6,90,164,456,lifting,6,0,1,0
112,1608,9.5,1963,9,33,115,398,climbing,6,0,4,1
93,1553,5.0,13363,5,80,157,135,bending,8,0,5,1
118,3201,9.0,8002,6,67,118,68,lifting,6,1,4,1
64,2004,8.7,19842,4,33,168,149,walking,7,1,4,1
90,2904,8.5,5564,6,44,73,417,bending,7,0,4,1
98,3571,4.4,8868,7,55,115,172,climbing,6,0,2,1
119,1649,7.7,10632,2,86,167,208,bending,6,1,5,1
61,2882,4.9,13959,6,75,41,265,bending,6,0,5,1
68,3247,8.2,1588,0,44,44,266,walking,8,1,3,1
116,3988,4.0,1893,6,39,146,37,sitting,11,0,0,1
120,2218,8.1,9323,5,65,43,418,climbing,10,0,3,1
96,1945,6.4,16901,6,91,66,318,walking,10,1,2,0
107,1665,4.2,10961,8,20,165,229,walking,8,1,1,1
90,3753,7.9,18321,2,72,41,108,walking,11,1,4,1
106,2008,3.8,13142,7,22,42,259,sitting,10,0,2,1
78,3851,4.6,1516,7,52,179,413,walking,9,1,4,1
96,3039,8.7,10712,8,97,146,45,kneeling,8,0,4,1
110,2999,7.0,19637,3,38,114,289,lifting,8,0,4,1
116,2768,6.9,7371,2,44,57,94,walking,8,0,3,1
85,3809,6.9,2794,6,99,35,285,climbing,7,1,5,1
67,3372,8.1,2000,10,76,74,383,walking,8,0,4,0
98,2402,5.5,12855,10,51,163,70,bending,10,0,2,1
112,1512,8.9,14352,10,35,66,461,bending,10,1,2,1
61,3749,8.3,5824,6,95,121,278,bending,7,1,5,1
77,1882,8.2,13531,9,68,118,208,bending,6,0,0,0
95,3473,8.4,4219,10,38,78,413,kneeling,8,1,0,1
76,2286,8.2,14063,8,39,91,300,sitting,12,1,5,1
117,1666,8.6,6381,7,48,30,3,bending,12,1,4,2
85,3094,3.9,2807,1,69,158,103,lifting,6,0,4,1
81,1604,3.8,3169,6,87,44,313,bending,8,0,2,1
100,3984,3.9,11531,0,78,134,396,walking,12,0,4,1
120,3315,7.4,5707,0,67,86,326,sitting,8,0,3,0
88,3313,7.1,13803,2,27,144,453,walking,11,1,3,1
102,2032,7.1,12290,0,91,53,381,climbing,11,1,3,2
119,1695,9.4,19527,9,28,97,11,climbing,10,1,0,1
72,2312,4.7,8605,1,36,110,183,bending,7,0,2,1
118,3143,4.2,18848,1,79,32,104,walking,11,0,0,1
98,2169,3.5,4690,3,74,90,422,kneeling,11,1,1,1
89,3530,6.8,12303,6,35,78,111,climbing,6,1,2,1
76,3927,3.8,6527,9,61,42,72,climbing,8,0,0,1
87,2628,5.2,2733,3,77,82,349,sitting,12,0,3,1
90,3688,4.1,5645,7,83,161,87,walking,6,0,1,0
100,1877,8.8,18571,2,33,79,133,kneeling,9,0,4,1
94,2893,7.9,17099,10,97,142,119,climbing,12,0,4,1
75,1970,8.6,6807,8,60,134,14,sitting,7,1,5,1
61,3518,8.2,18845,10,74,133,348,lifting,9,1,5,1
63,3149,8.7,17268,3,71,162,399,walking,12,0,2,0
108,1509,5.8,5706,1,41,76,114,bending,8,1,5,2
70,1853,9.5,12994,0,62,168,229,lifting,11,1,3,1
96,2115,7.9,18132,10,42,48,292,walking,8,1,3,2
108,3933,9.2,19269,9,88,98,120,climbing,10,1,4,1
115,1566,9.2,5157,0,62,38,487,kneeling,11,0,5,1
113,3721,6.1,9217,8,57,63,152,kneeling,8,0,5,1
65,2661,5.6,18881,8,78,39,355,bending,9,0,2,1
119,2233,4.9,18824,6,77,129,244,walking,10,0,0,0
119,3351,5.1,3555,9,28,148,253,kneeling,10,1,3,2
94,2114,8.6,19828,6,84,157,367,walking,12,0,2,0
93,3862,4.7,2251,10,88,111,348,kneeling,6,1,5,1
71,2472,5.7,9825,0,66,129,195,bending,10,1,5,1
89,3831,3.7,5090,2,55,168,90,bending,8,1,2,1
76,2247,9.1,13883,7,95,130,100,walking,8,1,1,0
100,2510,7.3,5361,10,88,177,433,sitting,12,1,1,1
115,2296,6.8,19762,1,63,133,84,sitting,6,1,1,0
94,2883,7.8,16836,2,63,129,85,kneeling,7,1,4,1
74,2410,5.6,13125,1,48,159,54,kneeling,11,1,2,1
83,1605,9.2,17044,8,53,128,486,kneeling,8,0,4,0
80,3497,8.1,10414,4,48,31,99,sitting,11,0,5,1
117,3598,8.4,3441,1,81,153,84,lifting,7,1,4,1
75,2602,8.3,3818,5,46,130,157,lifting,8,1,3,1
66,2838,8.5,7628,1,47,74,187,kneeling,7,1,3,1
106,3648,4.1,14967,7,60,41,8,kneeling,8,0,5,1
115,1946,5.2,3855,0,65,75,233,climbing,10,0,5,1
97,3645,6.3,2970,9,36,152,3,sitting,8,0,1,1
114,3606,6.7,12413,6,40,65,478,sitting,10,1,3,1
63,2828,8.7,17595,6,77,167,226,sitting,8,0,1,0
91,2883,6.6,10162,8,100,116,375,kneeling,9,1,2,1
110,2679,4.6,5223,4,98,60,495,lifting,12,1,2,1
61,2057,9.1,1205,0,25,69,410,sitting,8,0,4,0
101,2450,3.9,8747,2,34,113,444,sitting,6,0,0,1
80,2892,6.4,18097,3,74,172,377,walking,11,0,2,0
79,2664,8.6,18196,9,69,128,300,kneeling,11,1,1,1
91,2409,6.0,15452,4,72,68,382,lifting,7,1,4,1
107,2186,9.0,10434,3,28,164,111,walking,11,0,5,1
68,2279,8.5,5138,3,97,66,449,bending,6,1,4,1
65,1741,5.8,1265,1,86,92,212,sitting,9,0,1,0
105,3764,6.3,1793,8,41,150,206,kneeling,11,0,5,1
89,2224,8.2,12471,7,79,112,133,bending,8,1,3,1
68,3052,4.4,19717,0,61,66,316,lifting,10,1,3,1
117,3768,4.9,4350,6,26,170,444,walking,11,1,0,1
101,3420,4.6,15980,10,47,80,226,bending,11,0,4,2
101,3886,9.3,1959,5,43,74,79,kneeling,10,0,5,1
86,2201,9.2,14995,5,94,49,327,sitting,7,0,1,0
117,2182,5.5,12917,3,93,168,104,sitting,10,1,2,1
86,2000,6.4,16172,7,48,71,413,climbing,8,0,0,0
96,2862,5.1,9319,9,83,59,92,climbing,10,1,0,2
71,3838,4.5,3289,2,27,114,126,bending,10,1,4,1
118,3538,7.8,8020,7,61,65,296,kneeling,10,0,1,0
69,1615,8.4,4229,2,66,131,373,bending,12,0,4,1
72,2209,3.7,2457,4,90,155,310,bending,9,1,2,1
103,2362,7.7,13196,10,85,121,94,walking,11,1,0,1
111,1665,4.7,10113,4,50,129,330,lifting,12,1,0,1
89,1772,5.6,6341,3,93,53,11,walking,11,0,5,1
120,3903,8.0,1787,1,58,80,244,sitting,11,0,0,0
99,2304,9.0,19892,6,80,51,107,bending,10,1,0,1
98,1971,4.4,2586,10,39,68,59,walking,7,0,5,1
119,3385,6.0,5575,0,34,52,59,lifting,9,1,0,1
68,2240,3.8,2045,7,37,117,338,bending,10,1,1,1
72,2376,3.7,19739,3,75,127,172,walking,10,0,5,0
71,3365,7.4,10878,8,33,68,391,sitting,7,0,0,0
78,1593,8.2,13936,10,87,65,472,sitting,12,0,4,1
102,2837,9.4,5919,9,56,126,65,lifting,12,0,5,1
114,3002,9.5,12467,6,28,30,412,walking,11,1,1,1
109,3889,6.5,1559,1,49,146,60,walking,8,0,3,1
119,2970,6.8,18682,5,69,108,390,walking,7,0,2,0
120,1806,8.8,6117,0,38,153,476,lifting,9,0,2,1
99,2163,6.4,19269,7,55,45,85,kneeling,10,0,3,1
106,1849,6.1,1733,6,49,63,64,sitting,10,0,2,0
80,2569,9.2,6196,10,100,31,113,bending,11,1,0,1
75,1740,4.2,12900,6,83,174,468,bending,9,1,3,1
117,2762,7.2,13153,7,95,119,190,sitting,9,0,1,0
76,3464,8.5,5484,4,79,141,1,lifting,6,0,0,0
111,3606,4.2,7790,0,72,171,117,lifting,9,1,2,1
108,1868,6.4,14887,8,25,169,6,kneeling,6,1,3,1
66,2106,7.1,4544,5,27,148,43,walking,10,0,3,0
88,1916,5.0,16137,3,62,50,496,lifting,12,1,2,1
93,2628,6.5,7537,6,42,59,360,walking,6,0,4,1
87,2244,5.6,18305,10,65,144,218,bending,9,1,3,1
61,2337,4.2,1179,5,45,81,310,climbing,7,1,2,1
113,3291,8.8,15313,2,30,120,299,lifting,10,0,1,1
104,3445,3.6,2886,4,71,136,217,lifting,8,1,5,1
97,1602,8.0,4816,0,77,180,248,bending,9,0,2,0
62,1580,8.0,9607,9,50,169,393,kneeling,6,1,4,1
60,2790,5.0,3155,5,42,40,130,kneeling,10,0,4,1
79,3949,8.4,13943,9,87,156,327,walking,11,0,1,0
89,3917,6.1,4941,6,68,172,383,sitting,6,1,3,0
66,2108,4.8,10393,0,82,152,292,sitting,7,0,1,0
108,2820,6.1,7911,8,95,104,298,kneeling,6,1,0,1
64,2581,4.5,15116,10,37,36,109,climbing,6,1,4,2
114,2202,4.1,14459,0,40,37,322,bending,11,1,0,2
114,3735,9.2,3742,3,67,176,262,kneeling,10,1,1,0
117,1958,4.0,15563,0,88,158,320,kneeling,8,0,0,0
94,3134,8.9,10965,8,37,71,388,lifting,9,1,4,2
92,2454,6.9,15429,8,67,142,477,lifting,10,0,0,1
111,1605,5.1,2534,6,80,111,242,bending,6,0,1,1
84,3807,4.0,14213,1,30,70,261,climbing,11,1,1,1
98,3234,6.9,17537,2,79,130,296,bending,12,1,5,1
100,1704,5.1,12620,3,35,96,463,lifting,12,1,0,2
82,3249,3.8,19082,10,51,75,249,sitting,11,0,2,1
106,3045,5.6,16081,9,70,76,149,bending,6,1,5,2
100,2659,8.5,13331,6,89,93,368,sitting,10,1,0,0
77,3355,6.6,5970,1,76,32,78,kneeling,8,0,3,0
69,2154,9.4,12651,9,51,134,140,kneeling,10,0,0,0
92,3850,9.3,8274,4,88,132,272,bending,10,0,4,1
62,3285,4.3,9471,6,81,68,385,kneeling,9,0,3,0
61,1759,4.0,3420,3,34,180,458,bending,7,1,5,1
108,3956,7.3,6349,3,72,57,119,walking,9,1,0,1
81,2264,9.4,2434,4,61,172,261,lifting,9,1,5,1
61,2178,5.7,10123,4,83,67,134,lifting,10,0,3,1
80,1629,8.7,10474,4,23,175,213,climbing,12,0,3,1
108,3483,8.9,3140,8,36,96,304,kneeling,10,0,4,1
94,1511,8.7,16129,8,38,54,139,lifting,9,1,3,2
93,1928,8.2,11697,9,43,130,320,climbing,8,1,4,2
102,3705,7.2,9158,9,70,170,225,sitting,10,1,4,1
79,1869,5.5,9559,5,26,58,63,kneeling,7,0,0,1
114,3456,9.5,9073,6,25,119,58,lifting,9,0,3,1
103,1753,4.9,18623,8,70,83,215,sitting,7,1,5,1
101,2015,4.1,19981,4,61,125,306,lifting,9,1,0,1
63,1601,7.1,19756,4,37,106,271,kneeling,8,0,0,0
78,3041,9.5,9977,8,98,141,220,climbing,9,0,2,0
110,3285,5.1,1470,4,60,138,442,sitting,9,1,2,1
94,1619,6.9,11109,5,48,79,400,kneeling,12,0,3,1
68,2493,8.6,13108,4,71,127,401,walking,12,0,3,0
81,2684,3.8,13992,10,62,118,117,lifting,6,1,1,1
114,2264,4.2,5985,4,43,145,219,climbing,11,1,2,2
85,2050,8.1,3206,6,23,56,40,walking,8,0,0,0
83,3561,8.4,9231,8,86,129,30,lifting,12,0,0,1
90,3911,6.6,13978,7,83,173,65,walking,12,0,1,0
96,3939,8.8,12742,7,21,99,228,walking,11,1,2,1
114,2172,7.3,14926,1,38,58,470,walking,6,0,4,1
76,2437,7.9,16686,5,49,140,177,bending,10,1,4,1
63,3389,6.8,6531,5,53,161,89,sitting,7,0,5,0
95,2452,6.5,9297,5,54,42,16,bending,9,1,2,1
101,3004,5.2,16309,5,38,80,432,lifting,6,0,1,1
69,3332,5.2,18605,9,82,51,230,climbing,12,1,1,2
75,2702,7.4,6451,7,41,37,98,kneeling,10,1,5,1
70,1798,8.9,12587,0,89,45,410,lifting,10,1,1,1
112,1670,5.0,7368,0,69,88,166,bending,10,0,2,1
99,2439,5.5,8520,4,21,39,439,bending,12,0,4,2
64,3123,6.1,17552,4,85,47,431,climbing,8,0,2,0
76,2541,9.0,12778,4,53,139,27,kneeling,7,1,5,0
64,3446,7.1,8125,7,90,57,7,bending,11,1,1,1
101,3940,4.2,18584,7,84,161,338,sitting,12,1,4,1
96,3872,6.1,18291,8,39,45,156,sitting,9,0,3,1
66,2623,8.5,5506,4,68,89,18,lifting,12,1,5,1
76,2216,5.1,7675,8,48,145,83,kneeling,7,0,4,1
110,1922,4.4,4693,10,90,157,15,climbing,12,0,4,2
73,2206,6.6,17865,0,93,172,473,walking,7,0,0,0
62,1979,3.6,8537,2,20,34,32,bending,10,1,3,2
87,3054,4.2,1976,8,100,172,470,bending,9,1,0,1
60,3743,4.0,10682,3,67,128,407,lifting,8,0,5,1
75,3765,5.2,11463,10,51,51,301,kneeling,12,0,3,1
77,3224,8.2,19033,10,37,79,161,sitting,9,1,5,1
110,1900,3.7,7506,0,78,133,468,walking,6,1,2,1
120,2849,9.2,13425,7,29,114,10,bending,6,1,3,1
